trigger,name,T90,fluence,has_lat,reference_nai,nai_dets,bgo_det,lle,n_bins,source_t1,source_t2,bkg_pre_start,bkg_pre_stop,bkg_post_start,bkg_post_stop
bn171210493,GRB171210493,143.11,8.0764e-05,True,n0,n1|n0|n2|n9,b0|b1,False,11,-0.14,97.01,-99.86,-19.86,114.14,194.14
bn180426549,GRB180426549,16.19,1.0632e-05,False,nb,nb,b1,False,4,-0.21,9.84,-8.5,-1.5,10.5,24.0
bn180427442,GRB180427442,25.92,5.0455e-05,False,n4,n4,b0,False,12,-0.14,41.01,-90.01,-10.01,53.72,133.72
bn180703876,GRB180703876,20.74,1.6251e-05,True,n6,n7|n6|n8,b1,True,7,0.5,23.54,-91.29,-11.29,52.95,132.95
bn180720213,GRB180720213,8.9,2.4585e-05,False,n3,n5|n3|n4,b0,False,12,-0.52,14.58,-90.52,-10.52,31.96,111.96
bn180723757,GRB180723757,19.71,4.3311e-05,False,n8,n8,b1,False,13,-0.01,32.82,-90.01,-10.01,41.94,121.94
bn180724807,GRB180724807,58.11,2.7823e-05,False,na,nb|na,b1,False,7,-0.27,41.72,-101.78,-21.78,133.59,213.59
bn180728728,GRB180728728,6.4,5.5911e-05,False,n3,n6|n7|n3,b1|b0,False,26,9.46,25.59,-81.05,-1.05,32.47,112.47
bn181212693,GRB181212693,57.6,2.027e-05,False,n2,n2|n5,b0,False,15,-0.27,13.04,-90.78,-10.78,94.68,174.68
bn190222537,GRB190222537,13.31,1.5106e-05,False,n8,nb|n8,b1,False,4,-0.27,11.76,-94.62,-14.62,43.99,123.99
bn190401139,GRB190401139,42.75,1.6671e-05,False,n6,n7|n6|n3|n8,b1|b0,False,8,-0.14,26.87,-100.25,-20.25,100.31,180.31
bn190726642,GRB190726642,307.97,1.5761e-05,False,n9,na|n9,b1,False,7,2.42,18.61,-101.14,-21.14,112.86,192.86
bn191017391,GRB191017391,67.84,2.0525e-05,False,n5,n5,b0,False,4,-0.08,28.72,-126.36,-46.36,167.38,247.38
bn191125206,GRB191125206,77.31,4.9669e-05,False,n5,n5|n3|n1,b0,False,7,-0.14,34.87,-116.38,-36.38,181.98,261.98
bn191129141,GRB191129141,19.97,1.154e-05,False,n8,n8|nb,b1,False,9,-5.71,23.03,-92.82,-12.82,58.84,138.84
bn200227306,GRB200227306,24.32,1.1262e-05,False,n0,n0|n1|n6|n9,b0|b1,False,7,-0.14,23.8,-90.26,-10.26,65.24,145.24
bn200301320,GRB200301320,18.18,1.0224e-05,False,n0,n3|n0|n1,b0,False,7,-0.01,19.0,-90.78,-10.78,46.81,126.81
bn200524211,GRB200524211,37.76,1.3964e-05,True,n0,n0|n1|n3|n6,b0|b1,False,11,-0.65,27.44,-22.02,-19.48,94.17,174.17
bn200607921,GRB200607921,26.62,1.1548e-05,False,n6,n9|n6|n7,b1|b0,False,5,-0.27,23.6,-95.64,-15.64,67.03,147.03
bn200826923,GRB200826923,7.42,0.00013515,False,n5,n5|n2,b0,False,17,-0.01,12.66,-88.73,-8.73,30.42,110.42
bn201016019,GRB201016019,2.94,9.2778e-05,False,n5,n5|n4,b0,False,21,5.75,14.07,-84.89,-4.89,22.23,102.23
bn201104001,GRB201104001,52.48,1.3058e-05,True,n3,n7|n3|n8|n6|n4,b1|b0,True,6,-0.01,8.95,-122.26,-42.26,125.91,205.91
bn201105230,GRB201105230,17.15,4.3279e-05,False,n5,n5|n2,b0,False,9,-0.01,22.13,-91.03,-11.03,46.04,126.04
bn210410037,GRB210410037,48.13,3.1006e-05,True,n6,n7|n6|n8,b1,False,7,-0.01,30.71,-111.0,-31.0,107.48,187.48
bn210524208,GRB210524208,20.99,1.3622e-05,False,n9,n9|na,b1,False,17,-3.98,26.87,-90.52,-10.52,45.78,125.78
bn210714331,GRB210714331,42.37,3.6533e-05,False,na,nb|na,b1,False,15,-0.65,36.08,-90.52,-10.52,88.79,168.79
bn210723615,GRB210723615,42.75,1.4503e-05,False,n4,n4,b0,False,3,-0.27,24.05,-112.54,-32.54,103.64,183.64
bn210803497,GRB210803497,9.22,1.0593e-05,False,n2,n2|na,b0|b1,False,9,-0.14,13.3,-99.99,-19.99,41.43,121.43
bn210812699,GRB210812699,39.87,1.0985e-05,False,nb,nb,b1,False,1,-0.14,1.72,-106.65,-26.65,103.9,183.9
bn211116586,GRB211116586,19.97,1.1156e-05,False,n2,n2|n5,b0,False,6,-0.4,13.17,-91.8,-11.8,49.88,129.88
bn211207416,GRB211207416,120.32,2.0117e-05,False,nb,nb|n7|n8,b1,False,3,-4.04,24.69,-102.17,-22.17,111.83,191.83
bn220525008,GRB220525008,16.13,1.4894e-05,False,n3,n3|n5|n4,b0,False,7,-4.94,14.58,-98.46,-18.46,45.02,125.02
bn221201517,GRB221201517,28.93,1.8118e-05,False,n5,n5,b0,False,10,-0.4,26.23,-91.03,-11.03,67.8,147.8
bn221209243,GRB221209243,4.16,3.3656e-05,False,n2,n2,b0,False,11,0.88,5.36,-90.26,-10.26,39.64,119.64
bn230320884,GRB230320884,14.59,1.0425e-05,False,n2,n5|n2,b0,False,5,-0.27,14.07,-94.62,-14.62,43.48,123.48
bn230405832,GRB230405832,4.29,1.0735e-05,False,n8,n8|nb,b1,False,6,0.12,6.0,-98.2,-18.2,39.64,119.64
