filename,bibcode,arxiv,theme,cited_by_bursts,n_bursts,read,read_date
Sharma_2021_2021ApJ908L2S.pdf,2021ApJ...908L...2S,2008.07544,central-engine-BH,bn120624933,1,N,
Tak_2023_2023ApJ949110T.pdf,2023ApJ...949..110T,2212.07095,broad-pulse-evolution,bn120624933;bn081224887,2,READING,
Meng_2026_2026AA706A142M.pdf,2026A&A...706A.142M,2503.01558,photosphere,bn120624933,1,N,
Chang_2026_2026MNRAS546ag047C.pdf,2026MNRAS.546ag047C,2601.04468,poynting-flux-outflow,bn120624933;bn200524211,2,N,
Li_2026_2026ApJS28318L.pdf,2026ApJS..283...18L,2412.08226,Ep-estimation,bn120624933,1,N,
Fraija_2025_2025MNRAS5431945F.pdf,2025MNRAS.543.1945F,2509.23345,ssc-reverse-shock,bn120624933,1,N,
Amelino-Camelia_2026_2026JCAP02035A.pdf,2026JCAP...02..035A,2501.13840,neutrino-LIV,bn120624933,1,N,
Akerlof_2013_2013ApJ764190A.pdf,2013ApJ...764..190A,1205.3066,high-energy-photon-fraction,bn120624933,1,N,
Gowri_2025_2025ApJ991230G.pdf,2025ApJ...991..230G,2409.17860,prompt-pulse-shape,,0,N,
Rahaman_2024_2024MNRAS528L45R.pdf,2024MNRAS.528L..45R,2308.00403,internal-shocks-FS-RS-synchrotron,project-core;two-break;lowE-component,0,N,
Gowri_2025_2025ApJ991230G.pdf,2025ApJ...991..230G,2409.17860,pulse-shape-phi-photosphere,project-core;pulse-shape,0,N,
Qin_2021_2021RAA2172Q.pdf,2021RAA....21...72Q,,DEDICATED;high-Ep;thermal,bn130310840,1,N,
Zhong_2019_2019ApJ88425Z.pdf,2019ApJ...884...25Z,1909.00577,precursors-short-GRB,bn130310840,1,N,
Deng_2024_2024ApJ97067D.pdf,2024ApJ...970...67D,2405.14588,spectral-properties,bn130310840,1,N,
Li_2024_2024ApJ9721L.pdf,2024ApJ...972....1L,2408.01161,jet-magnetization,bn130310840,1,N,
Li_2023_2023ApJ95598L.pdf,2023ApJ...955...98L,2308.06151,QPO-short-GRB,bn130310840,1,N,
Suvorov_2024_2024Univ10441S.pdf,2024Univ...10..441S,2408.16283,premerger-NS,bn130310840,1,N,
(no pdf),2024Univ...10..438H,,jet-precession,bn130310840,1,N,
Li_2025_2025AA699A182L.pdf,2025A&A...699A.182L,2506.22043,jet-precession-fallback,bn130310840,1,N,
(no pdf),2023ApJ...950...78L,,MGF-origin,bn130310840,1,N,
Rahaman_2023_2023arXiv230916327R.pdf,2023arXiv230916327R,2309.16327,internal-shocks-hydrodynamics,,0,N,
Rahaman_2024_2024MNRAS528L45R_arxiv.pdf,2023arXiv230800403R,2308.00403,internal-shocks-pulse-shape-APPENDICES,project-core;two-break;lowE-component,0,N,
Toffano_2021_2021AA652A123T.pdf,2021A&A...652A.123T,2106.03868,low-energy-break;alpha-slope;2SBPL,project-core;two-break,0,Y,2026-08-08
Duan_2020_2020ApJ89090D.pdf,2020ApJ...890...90D,1912.10587,LLE-sample;timeres;correlations;selection-effects,project-core;bn130427324;bn110721200,0,N,
Ravasio_2024_2024AA685A166R.pdf,2024A&A...685A.166R,2312.02259,GBM+LAT-joint;high-E-cutoff;Gamma;beta-bias,project-core;L17;proj34;proj42,0,N,
Ravasio_2019_2019AA625A60R.pdf,2019A&A...625A..60R,1903.02555,TWO-SPECTRAL-BREAKS;2SBPL-foundational,project-core;two-break;bn160625945,0,N,
Ravasio_2018_2018AA613A16R.pdf,2018A&A...613A..16R,1711.03106,synchrotron-160625B;2SBPL-origin,project-core;two-break;bn160625945,0,N,
Siddique_2022_2022ApJ938159S.pdf,2022ApJ...938..159S,,DEDICATED-burst-paper,bn130518580,1,Y,2026-08-09
Burgess_2020_2020NatAs4174B.pdf,2020NatAs...4..174B,1810.06965,cool-synchrotron;soft-p,bn130518580;proj35,1,N,
FanaDirirsa_2019_2019ApJ88713F.pdf,2019ApJ...887...13F,1910.07009,LAT-spectral;known-z,bn130518580,1,N,
Ahlgren_2019_2019MNRAS485474A.pdf,2019MNRAS.485..474A,1901.06844,subphotospheric-dissipation,bn130518580;proj42,1,N,
Jiang_2021_2021MNRAS505L26J.pdf,2021MNRAS.505L..26J,,spectral-lag;SINGLE-PULSE,bn130518580;proj37,1,N,
Wistemar_2025_2025ApJ986118W.pdf,2025ApJ...986..118W,2504.00092,Lorentz-factor-method,bn130518580;proj42,1,N,
Veres_2015_2015ApJ81031V.pdf,2015ApJ...810...31V,1411.7368,VLA-afterglow,bn130518580,1,N,
(no pdf),2024ApJ...972..132C,,thermal-dominated,bn130518580,1,N,
Zhang_2011_2011ApJ730141Z.pdf,2011ApJ...730..141Z,1009.3338,comprehensive-I;spectral-components;LAT-GBM;extra-PL;Planck-narrowing,proj34;proj42;proj43,1,N,
Qin_2013_2013ApJ76315Q.pdf,2013ApJ...763...15Q,1205.1188,comprehensive-III;energy-dependent-T90;duration-selection,step7-temporal;bn090530760;bn081224887;bn100707032,3,Y,2026-08-13 (deep-read + skill patch; population-vs-per-burst correction into Temporal.md)
Lu_2018_2018ApJ865153L.pdf,2018ApJ...865..153L,1808.00636,comprehensive-IV;lag-Ep;pulse-classification,bn090530760;proj37;proj38;bn081224887;bn100707032;bn110605183;bn111009282,5,Y,2026-08-10 (deep-reading notes + skill patch delivered)
Preece_2016_2016ApJ821_12P_PUB.pdf,2016ApJ...821...12P,1603.05061,which-Epeak;Ep-evolution;single-pulse-simulation;time-avg-vs-peakflux;Amati-caveat,bn110721200;bn130427324;proj34;proj43;bn100707032,3,N,
Zhang_2019_NatAs_polarization_arXiv190104207.pdf,2019NatAs...3..258Z,1901.04207,POLARIZATION;PA-rotation;five-GRBs,bn170114917;proj42,1,N,
Wang_2024_2024ApJ97215W_twice90_arXiv.pdf,2024ApJ...972...15W,2407.10547,POLARIZATION;twice-90-rotation;170114A-specific,bn170114917;proj42,1,N,
Burgess_2019_2019AA627A105B_arXiv190104719.pdf,2019A&A...627A.105B,1901.04719,POLARIZATION+SPECTRA-joint;synchrotron-decaying-B,bn170114917;proj34;proj42,1,N,
Kole_2020_POLARcat_arXiv200904871.pdf,2020A&A...644A.124K,2009.04871,POLAR-catalog;14-GRBs,bn170114917,1,N,
