trigger,t90,fluence,brightest_nai,has_lat,n_bins,grade,preferred_model,n_bb_decisive,n_twobreak_decisive
bn221201517,28.929,1.8118e-05,n2,False,10,Gold,Band,1,0
bn221209243,4.16,3.3656e-05,n1,False,11,Gold,SBPL,3,0
bn230320884,14.592,1.0425e-05,n2,False,5,Silver,CPL,0,0
bn230405832,4.288,1.0735e-05,n7,False,6,Silver,SBPL,0,0
bn230409626,20.224,3.902e-05,n0,False,6,Silver,CPL,2,0
bn230614424,6.08,2.0123e-05,n9,False,6,Silver,SBPL,1,0
bn230802285,38.145,1.2848e-05,n2,False,4,Bronze,CPL+BB,3,0
bn230812790,3.264,0.00027987,n0,False,27,Gold,Band+BB,14,3
bn231020790,9.344,3.7536e-05,n2,False,16,Gold,CPL+BB,4,0
bn231030832,10.752,2.0996e-05,n0,False,7,Silver,SBPL,1,0
bn240204630,15.872,1.5915e-05,n9,False,8,Silver,CPL,0,0
bn240403498,35.585,3.642e-05,n0,False,15,Gold,CPL,1,0
bn240710643,8.448,1.0126e-05,n7,False,8,Silver,Band,2,0
bn241117845,64.257,1.578e-05,n3,False,2,Bronze,Band,0,0
bn241223506,30.465,6.2659e-05,n0,False,12,Gold,CPL+BB,1,0
bn250313607,298.245,8.7791e-05,n0,False,19,Gold,SBPL,3,1
bn250407659,6.272,4.5797e-05,n3,False,8,Silver,Band+BB,6,0
bn250702413,52.737,3.6011e-05,n6,False,9,Silver,Band,0,0
bn250814432,15.104,0.00059006,n2,False,3,Bronze,CPL,0,0
bn250902062,8.448,2.8585e-05,n0,False,9,Silver,SBPL,0,0
bn251016999,7.104,2.2534e-05,n0,False,10,Gold,CPL,2,0
bn260105973,11.325,1.9256e-05,n0,False,4,Bronze,CPL,0,0
