TRIGGER,BLOCK,T_START,T_STOP,N_DETS,BAND_VALID,BAND_ALPHA,BAND_ALPHA_ERR,BAND_EP,BAND_EP_ERR,BAND_BETA,BAND_BETA_ERR,BAND_AIC,CPL_VALID,CPL_AIC,SBPL_VALID,SBPL_AIC,DSBPL_VALID,DSBPL_XB,DSBPL_XB_ERR,DSBPL_XP,DSBPL_XP_ERR,DSBPL_AIC,BANDBB_VALID,BANDBB_KT,BANDBB_KT_ERR,BANDBB_AIC,CPLBB_VALID,CPLBB_KT,CPLBB_KT_ERR,CPLBB_AIC,BEST_AIC_MODEL,LRT_BANDBB_BAND,LRT_CPLBB_CPL,LRT_DSBPL_SBPL
bn081125496,0,-0.2679999999999829,0.37200000000001765,2,True,-0.378664161511171,0.34549525891662736,490.7205577219603,246.4972418359852,-1.8745219933126407,0.16580034132759502,1089.8911644596765,True,1093.6152926584932,True,1089.4490050032355,False,45.28742799910689,17.936530269333808,4835.012564770247,1409.670884625189,1092.942975319132,True,29.52231359977674,7.6217754362606325,1092.606411193379,True,52.571872743358554,22.95798221828735,1093.1543335800955,SBPL,1.2847532662974572,4.460959078397764,0.506029684103396
bn081125496,1,0.37200000000001765,1.6520000000000188,2,True,-0.37045983361949575,0.18341799430129718,238.33123954505155,42.995206933705646,-1.9770820665682627,0.11195621063177108,1634.1149650936682,True,1643.4008027543323,True,1636.6024590349577,True,892.0787048944644,186.6135804585952,3101.8291785820534,1157.4193348093659,1637.7751123606045,True,1.8128474086951638,0.32922019534055813,1626.206323453213,True,45.74386468795052,7.455074031248106,1630.188039254765,Band+BB,11.908641640455244,17.212763499567245,2.8273466743532936
bn081125496,2,1.6520000000000188,2.1640000000000192,2,True,-0.2615067991451474,0.1849434714946927,267.2535867458359,48.91149459743765,-2.129082053553632,0.1609809090609038,986.4410094845523,True,1053.6020474242057,True,987.1090258318047,True,847.528509536669,239.75058168999584,2530.1184006547246,1014.2035962325875,991.3076365695885,True,22.29335945417224,7.564776415161752,989.1172348558497,True,55.89520367534631,5.737280095395278,997.2112684535589,Band,1.3237746287026084,60.39077897064681,-0.1986107377837243
bn081125496,3,2.1640000000000192,2.80400000000002,2,True,-0.09808595671055705,0.12840114585963722,221.91034308457742,19.054597274564586,-2.514174204521824,0.1704705180869106,1127.58083826321,True,1248.8561062657573,True,1132.3291249915544,True,719.7085050210699,217.2423682757526,2026.5252697072,334.1023131875928,1149.3328016597152,True,61.82685357655402,10.684421923200524,1125.1819996297115,True,49.344844851501804,2.8929895074458365,1134.3161545168277,Band+BB,6.398838633498372,118.53995174892952,-13.003676668160779
bn081125496,4,2.80400000000002,3.7000000000000206,2,True,0.14159571619156644,0.16964727625035259,137.10294690645787,11.217683001304941,-2.2216858388693534,0.11707327780547638,1354.6902005286026,True,1548.226353223516,True,1363.7663664944264,True,16.075119943954913,138.59877739813496,1369.1313007019944,277.22932992928884,1366.1824717974723,True,36.5191959338616,2.3804672290755704,1347.920399407041,True,32.47498883536597,1.6377000918103484,1350.804830639575,Band+BB,10.769801121561613,201.42152258394117,1.5838946969540757
bn081125496,5,3.7000000000000206,6.644000000000023,2,True,-0.14348849499586416,0.14283677082579627,105.03103977412717,8.149083610497023,-2.04418834631075,0.06340427323500764,2263.9321323105823,True,2543.009606077292,True,2284.580235945359,True,898.0837036931074,229.0175522591207,1439.332133475788,52.03130767412529,2274.14160101296,False,27.016442742450472,0.6648264386898592,2221.389732591907,False,26.012632090493153,0.9995242664630162,2223.689397608002,Band,46.54239971867537,323.32020846929026,14.438634932399054
bn081125496,6,6.644000000000023,7.668000000000024,2,True,0.08515127986602054,0.9178080632945981,53.052416742050994,20.034304407032867,-1.8208939493063012,0.08699607462844738,1394.1058426532823,False,1408.9079553039282,False,1396.646112438248,True,604.0220472782124,174.83832917821772,1258.441847211423,251.63248062422866,1401.8380748688255,False,16.81373068288756,1.5074150186653172,1384.6387548283367,False,15.806777303703392,1.4532073107377474,1382.7491010759436,Band,13.467087824945565,30.158854227984648,-1.191962430577405
bn081125496,7,7.668000000000024,10.740000000000027,2,False,-1.117189069504829,0.6841942472929329,30.061962276330828,8.282824108188105,-1.6000000592345998,5.787854378136448e-05,2243.8353720165583,False,2248.961277882544,False,2230.247730708919,False,10.000001031425256,0.0019479511232809443,4999.99897201702,0.7539691491933809,2274.8858495071304,False,8.556448534368904,0.8160193774218762,2219.087189645121,True,8.445742169402443,0.7910935433971154,2213.8759313898145,CPL+BB,28.74818237143745,39.085346492729514,-40.63811879821151
bn081222204,0,-0.011999999999982691,0.8840000000000181,4,True,-0.7953251043036842,0.2060938944568737,222.1319103606098,92.47525756141908,-1.6881394505145564,0.062332406605843826,2593.631166798932,True,2609.409740429227,True,2593.7037353616874,False,59.64216872515517,158.18664280866113,4999.994847186806,6.294755848299246,2599.759032290306,True,24.044858090203704,8.30099051442161,2596.862657182086,True,28.149226949541056,7.174661171416043,2599.8699773844737,Band,0.7685096168461314,13.539763044753272,-2.0552969286186453
bn081222204,1,0.8840000000000181,3.18800000000002,4,True,-0.9592741635011293,0.06533836538358129,219.26149950678808,30.506791984212185,-1.9884767471262137,0.09243300694464829,4023.7533346354935,True,4113.176497561836,True,4025.7466841387,True,34.14913784486896,88.77899727697638,4257.36690842561,873.7999944922358,4029.6311598246257,True,49.12307230396303,7.838028039375768,4024.602334052116,True,32.65281854784179,5.052187742071416,4047.5559526056804,Band,3.1510005833774812,69.62054495615575,0.11552431407426411
bn081222204,2,3.18800000000002,4.212000000000021,4,True,-0.8169848287274936,0.09077676826272935,174.9921956373491,23.496093973183463,-2.070021496383536,0.11349429834806046,2856.708447123306,True,2962.6075844160587,True,2859.856252928427,True,81.51336538088549,18.96804923715803,4336.689013676949,1219.53338437311,2863.4266184579033,True,19.846088418107325,87.87494830078798,2860.70852473437,True,31.322145742885603,2.915247673872152,2871.004290734986,Band,-7.761106371617643e-05,95.6032936810725,0.4296344705235242
